what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.engine,1.0.1.R34x_v20080827,org.eclipse.equinox.p2.engine,1231897614977
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.0.v20080427-2136,org.eclipse.equinox.p2.exemplarysetup,1231897614978
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.1.R34x_v20080818,org.eclipse.equinox.p2.garbagecollector,1231897614978
started,bundle,org.eclipse.equinox.p2.metadata,1.0.0.v20080514-1900,org.eclipse.equinox.p2.metadata,1231897614979
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.0.v20080604,org.eclipse.equinox.p2.metadata.repository,1231897614979
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.2.R34x_v20080909,org.eclipse.equinox.p2.reconciler.dropins,1231897614980
started,bundle,org.eclipse.equinox.p2.ui,1.0.1.R34x_v20080909,org.eclipse.equinox.p2.ui,1231897614980
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20080818,org.eclipse.equinox.p2.ui.sdk,1231897614981
started,bundle,org.eclipse.equinox.p2.updatechecker,1.0.0.v20080427-2136,org.eclipse.equinox.p2.updatechecker,1231897614986
started,bundle,org.eclipse.equinox.preferences,3.2.201.R34x_v20080709,org.eclipse.equinox.preferences,1231897614990
started,bundle,org.eclipse.equinox.registry,3.4.0.v20080516-0950,org.eclipse.equinox.registry,1231897615012
started,bundle,org.eclipse.equinox.security,1.0.1.R34x_v20080721,org.eclipse.equinox.security,1231897615012
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.2.R34x_v20080911,org.eclipse.equinox.simpleconfigurator.manipulator,1231897615017
started,bundle,org.eclipse.help,3.3.101.v20080702_34x,org.eclipse.help,1231897615018
started,bundle,org.eclipse.jface,3.4.1.M20080827-2000,org.eclipse.jface,1231897615018
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1231897615019
started,bundle,org.eclipse.ltk.core.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.core.refactoring,1231897615019
started,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1231897615020
started,bundle,org.eclipse.team.core,3.4.1.r34x_20080827,org.eclipse.team.core,1231897615020
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1231897615020
started,bundle,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui,1231897615021
started,bundle,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console,1231897615031
started,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1231897615031
started,bundle,org.eclipse.ui.forms,3.3.101.v20080708_34x,org.eclipse.ui.forms,1231897615031
started,bundle,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.ide,1231897615032
